warehouse_code,sku,product_name,available_quantity,reserved_quantity,snapshot_date,snapshot_time
WH03,SKU00001,Boeuf Oreille,463,35,2026-01-11,23:59:59
WH03,SKU00002,Crème Projet,64,1,2026-01-11,23:59:59
WH03,SKU00003,Biscuits Part,90,10,2026-01-11,23:59:59
WH03,SKU00004,Saumon Comme,146,11,2026-01-11,23:59:59
WH03,SKU00005,Porc Étonner,11,2,2026-01-11,23:59:59
WH03,SKU00006,Huile Enfin,357,1,2026-01-11,23:59:59
WH03,SKU00007,Jus Beau,293,21,2026-01-11,23:59:59
WH03,SKU00008,Riz Inutile,473,79,2026-01-11,23:59:59
WH03,SKU00009,Tomates Ami,469,39,2026-01-11,23:59:59
WH03,SKU00010,Déodorant Saisir,260,5,2026-01-11,23:59:59
WH03,SKU00011,Frites Remonter,417,43,2026-01-11,23:59:59
WH03,SKU00012,Boeuf Entourer,94,12,2026-01-11,23:59:59
WH03,SKU00013,Petits pots Saison,305,9,2026-01-11,23:59:59
WH03,SKU00014,Eau En,165,23,2026-01-11,23:59:59
WH03,SKU00015,Crème Accuser,294,24,2026-01-11,23:59:59
WH03,SKU00016,Crème Boire,203,19,2026-01-11,23:59:59
WH03,SKU00017,Soda Vol,432,57,2026-01-11,23:59:59
WH03,SKU00018,Liquide vaisselle Sourire,93,3,2026-01-11,23:59:59
WH03,SKU00019,Liquide vaisselle Baisser,436,30,2026-01-11,23:59:59
WH03,SKU00020,Riz Ensuite,6,1,2026-01-11,23:59:59
WH03,SKU00021,Bananes Bien,445,35,2026-01-11,23:59:59
WH03,SKU00022,Savon Approcher,69,3,2026-01-11,23:59:59
WH03,SKU00023,Pâtes Inconnu,188,37,2026-01-11,23:59:59
WH03,SKU00024,Oranges Boire,60,4,2026-01-11,23:59:59
WH03,SKU00025,Conserves Problème,92,12,2026-01-11,23:59:59
WH03,SKU00026,Thon Espace,62,4,2026-01-11,23:59:59
WH03,SKU00027,Poisson pané Flot,26,5,2026-01-11,23:59:59
WH03,SKU00028,Carottes Tranquille,488,33,2026-01-11,23:59:59
WH03,SKU00029,Nettoyant Poids,333,25,2026-01-11,23:59:59
WH03,SKU00030,Pommes Eh,126,25,2026-01-11,23:59:59
WH03,SKU00031,Porc Rapport,459,20,2026-01-11,23:59:59
WH03,SKU00032,Conserves Conscience,481,53,2026-01-11,23:59:59
WH03,SKU00033,Sauce tomate Réunir,418,14,2026-01-11,23:59:59
WH03,SKU00034,Eau Rien,154,24,2026-01-11,23:59:59
WH03,SKU00035,Biscuits Peur,162,19,2026-01-11,23:59:59
WH03,SKU00036,Crème Étage,109,1,2026-01-11,23:59:59
WH03,SKU00037,Chocolat Peur,231,36,2026-01-11,23:59:59
WH03,SKU00038,Sauce tomate Montrer,211,14,2026-01-11,23:59:59
WH03,SKU00039,Crevettes Disparaître,336,58,2026-01-11,23:59:59
WH03,SKU00040,Biscuits Cerveau,115,3,2026-01-11,23:59:59
WH03,SKU00041,Crème Chair,492,87,2026-01-11,23:59:59
WH03,SKU00042,Confiture Toit,462,2,2026-01-11,23:59:59
WH03,SKU00043,Nettoyant Occasion,15,0,2026-01-11,23:59:59
WH03,SKU00044,Bananes Lentement,253,33,2026-01-11,23:59:59
WH03,SKU00045,Thon Note,420,45,2026-01-11,23:59:59
WH03,SKU00046,Biscuits Moyen,470,21,2026-01-11,23:59:59
WH03,SKU00047,Saumon Perdu,72,14,2026-01-11,23:59:59
WH03,SKU00048,Biscuits Avancer,61,1,2026-01-11,23:59:59
WH03,SKU00049,Légumes surgelés Trésor,188,35,2026-01-11,23:59:59
WH03,SKU00050,Oranges Terminer,228,5,2026-01-11,23:59:59
WH03,SKU00051,Thé Tant,469,71,2026-01-11,23:59:59
WH03,SKU00052,Légumes surgelés Chambre,143,10,2026-01-11,23:59:59
WH03,SKU00053,Glace Bas,80,6,2026-01-11,23:59:59
WH03,SKU00054,Sel Moins,185,17,2026-01-11,23:59:59
WH03,SKU00055,Conserves Inviter,378,22,2026-01-11,23:59:59
