sku,total_quantity,product_name
SKU00001,84,Boeuf Oreille
SKU00002,110,Crème Projet
SKU00003,103,Biscuits Part
SKU00004,93,Saumon Comme
SKU00005,97,Porc Étonner
SKU00006,91,Huile Enfin
SKU00007,75,Jus Beau
SKU00008,75,Riz Inutile
SKU00009,109,Tomates Ami
SKU00010,92,Déodorant Saisir
SKU00011,65,Frites Remonter
SKU00012,118,Boeuf Entourer
SKU00013,87,Petits pots Saison
SKU00014,51,Eau En
SKU00015,99,Crème Accuser
SKU00016,74,Crème Boire
SKU00017,96,Soda Vol
SKU00018,89,Liquide vaisselle Sourire
SKU00019,87,Liquide vaisselle Baisser
SKU00020,48,Riz Ensuite
SKU00021,111,Bananes Bien
SKU00022,116,Savon Approcher
SKU00023,84,Pâtes Inconnu
SKU00024,97,Oranges Boire
SKU00025,82,Conserves Problème
SKU00026,73,Thon Espace
SKU00027,62,Poisson pané Flot
SKU00028,97,Carottes Tranquille
SKU00029,115,Nettoyant Poids
SKU00030,75,Pommes Eh
SKU00031,91,Porc Rapport
SKU00032,82,Conserves Conscience
SKU00033,63,Sauce tomate Réunir
SKU00034,115,Eau Rien
SKU00035,79,Biscuits Peur
SKU00036,110,Crème Étage
SKU00037,67,Chocolat Peur
SKU00038,71,Sauce tomate Montrer
SKU00039,81,Crevettes Disparaître
SKU00040,116,Biscuits Cerveau
SKU00041,86,Crème Chair
SKU00042,62,Confiture Toit
SKU00043,84,Nettoyant Occasion
SKU00044,75,Bananes Lentement
SKU00045,140,Thon Note
SKU00046,81,Biscuits Moyen
SKU00047,97,Saumon Perdu
SKU00048,69,Biscuits Avancer
SKU00049,87,Légumes surgelés Trésor
SKU00050,90,Oranges Terminer
SKU00051,65,Thé Tant
SKU00052,100,Légumes surgelés Chambre
SKU00053,83,Glace Bas
SKU00054,78,Sel Moins
SKU00055,128,Conserves Inviter
SKU00056,85,Lait infantile Chien
SKU00057,78,Lait Étrange
SKU00058,81,Lingettes Distinguer
SKU00059,102,Glace Disparaître
SKU00060,73,Savon Ramasser
SKU00061,90,Savon Parent
SKU00062,85,Huile Côté
SKU00063,90,Thé Nommer
SKU00064,100,Pâtes Deviner
SKU00065,120,Poisson pané Flot
SKU00066,88,Soda Peau
SKU00067,148,Céréales Étranger
SKU00068,89,Crème Bras
SKU00069,103,Glace Pain
SKU00070,111,Dentifrice Rejoindre
SKU00071,84,Thon Chaleur
SKU00072,74,Crevettes Autorité
SKU00073,97,Yaourt Tenir
SKU00074,117,Confiture Rassurer
SKU00075,77,Couches Aide
SKU00076,112,Lingettes Certainement
SKU00077,86,Nettoyant Éprouver
SKU00078,95,Thon Dehors
SKU00079,64,Éponges Monter
SKU00080,102,Confiture Poids
SKU00081,83,Crème Pleurer
SKU00082,118,Beurre Également
SKU00083,97,Miel Mode
SKU00084,108,Crème Baisser
SKU00085,80,Biscuits Défendre
SKU00086,129,Éponges Manier
SKU00087,100,Confiture Absence
SKU00088,60,Yaourt Mémoire
SKU00089,75,Biscuits Faute
SKU00090,75,Laitue Parvenir
SKU00091,61,Lait infantile Fortune
SKU00092,112,Shampoing Nord
SKU00093,64,Lait infantile Vif
SKU00094,60,Poisson pané Rencontrer
SKU00095,80,Boeuf Toucher
SKU00096,81,Lessive Point
SKU00097,85,Huile Curiosité
SKU00098,89,Lingettes Discuter
SKU00099,83,Poulet Gauche
SKU00100,114,Sucre Émotion
