sku,total_quantity,product_name
SKU00001,99,Boeuf Oreille
SKU00002,118,Crème Projet
SKU00003,79,Biscuits Part
SKU00004,86,Saumon Comme
SKU00005,97,Porc Étonner
SKU00006,112,Huile Enfin
SKU00007,116,Jus Beau
SKU00008,108,Riz Inutile
SKU00009,79,Tomates Ami
SKU00010,95,Déodorant Saisir
SKU00011,83,Frites Remonter
SKU00012,95,Boeuf Entourer
SKU00013,74,Petits pots Saison
SKU00014,59,Eau En
SKU00015,57,Crème Accuser
SKU00016,65,Crème Boire
SKU00017,122,Soda Vol
SKU00018,100,Liquide vaisselle Sourire
SKU00019,108,Liquide vaisselle Baisser
SKU00020,85,Riz Ensuite
SKU00021,68,Bananes Bien
SKU00022,73,Savon Approcher
SKU00023,96,Pâtes Inconnu
SKU00024,73,Oranges Boire
SKU00025,70,Conserves Problème
SKU00026,96,Thon Espace
SKU00027,91,Poisson pané Flot
SKU00028,73,Carottes Tranquille
SKU00029,71,Nettoyant Poids
SKU00030,75,Pommes Eh
SKU00031,71,Porc Rapport
SKU00032,73,Conserves Conscience
SKU00033,91,Sauce tomate Réunir
SKU00034,105,Eau Rien
SKU00035,75,Biscuits Peur
SKU00036,85,Crème Étage
SKU00037,103,Chocolat Peur
SKU00038,60,Sauce tomate Montrer
SKU00039,59,Crevettes Disparaître
SKU00040,75,Biscuits Cerveau
SKU00041,76,Crème Chair
SKU00042,89,Confiture Toit
SKU00043,106,Nettoyant Occasion
SKU00044,71,Bananes Lentement
SKU00045,69,Thon Note
SKU00046,48,Biscuits Moyen
SKU00047,111,Saumon Perdu
SKU00048,90,Biscuits Avancer
SKU00049,83,Légumes surgelés Trésor
SKU00050,83,Oranges Terminer
SKU00051,96,Thé Tant
SKU00052,69,Légumes surgelés Chambre
SKU00053,96,Glace Bas
SKU00054,67,Sel Moins
SKU00055,114,Conserves Inviter
SKU00056,90,Lait infantile Chien
SKU00057,94,Lait Étrange
SKU00058,74,Lingettes Distinguer
SKU00059,98,Glace Disparaître
SKU00060,101,Savon Ramasser
SKU00061,70,Savon Parent
SKU00062,124,Huile Côté
SKU00063,84,Thé Nommer
SKU00064,83,Pâtes Deviner
SKU00065,79,Poisson pané Flot
SKU00066,74,Soda Peau
SKU00067,100,Céréales Étranger
SKU00068,45,Crème Bras
SKU00069,86,Glace Pain
SKU00070,65,Dentifrice Rejoindre
SKU00071,95,Thon Chaleur
SKU00072,74,Crevettes Autorité
SKU00073,101,Yaourt Tenir
SKU00074,43,Confiture Rassurer
SKU00075,89,Couches Aide
SKU00076,74,Lingettes Certainement
SKU00077,114,Nettoyant Éprouver
SKU00078,43,Thon Dehors
SKU00079,80,Éponges Monter
SKU00080,75,Confiture Poids
SKU00081,109,Crème Pleurer
SKU00082,77,Beurre Également
SKU00083,75,Miel Mode
SKU00084,72,Crème Baisser
SKU00085,98,Biscuits Défendre
SKU00086,67,Éponges Manier
SKU00087,81,Confiture Absence
SKU00088,94,Yaourt Mémoire
SKU00089,83,Biscuits Faute
SKU00090,62,Laitue Parvenir
SKU00091,109,Lait infantile Fortune
SKU00092,99,Shampoing Nord
SKU00093,79,Lait infantile Vif
SKU00094,45,Poisson pané Rencontrer
SKU00095,63,Boeuf Toucher
SKU00096,100,Lessive Point
SKU00097,85,Huile Curiosité
SKU00098,91,Lingettes Discuter
SKU00099,69,Poulet Gauche
SKU00100,67,Sucre Émotion
