warehouse_code,sku,product_name,available_quantity,reserved_quantity,snapshot_date,snapshot_time
WH02,SKU00001,Boeuf Oreille,378,65,2026-01-10,23:59:59
WH02,SKU00002,Crème Projet,268,11,2026-01-10,23:59:59
WH02,SKU00003,Biscuits Part,260,23,2026-01-10,23:59:59
WH02,SKU00004,Saumon Comme,348,5,2026-01-10,23:59:59
WH02,SKU00005,Porc Étonner,466,27,2026-01-10,23:59:59
WH02,SKU00006,Huile Enfin,50,7,2026-01-10,23:59:59
WH02,SKU00007,Jus Beau,486,23,2026-01-10,23:59:59
WH02,SKU00008,Riz Inutile,456,28,2026-01-10,23:59:59
WH02,SKU00009,Tomates Ami,364,40,2026-01-10,23:59:59
WH02,SKU00010,Déodorant Saisir,37,3,2026-01-10,23:59:59
WH02,SKU00011,Frites Remonter,253,13,2026-01-10,23:59:59
WH02,SKU00012,Boeuf Entourer,292,40,2026-01-10,23:59:59
WH02,SKU00013,Petits pots Saison,313,0,2026-01-10,23:59:59
WH02,SKU00014,Eau En,23,3,2026-01-10,23:59:59
WH02,SKU00015,Crème Accuser,105,3,2026-01-10,23:59:59
WH02,SKU00016,Crème Boire,473,37,2026-01-10,23:59:59
WH02,SKU00017,Soda Vol,2,0,2026-01-10,23:59:59
WH02,SKU00018,Liquide vaisselle Sourire,337,42,2026-01-10,23:59:59
WH02,SKU00019,Liquide vaisselle Baisser,90,12,2026-01-10,23:59:59
WH02,SKU00020,Riz Ensuite,423,29,2026-01-10,23:59:59
WH02,SKU00021,Bananes Bien,190,25,2026-01-10,23:59:59
WH02,SKU00022,Savon Approcher,22,1,2026-01-10,23:59:59
WH02,SKU00023,Pâtes Inconnu,72,9,2026-01-10,23:59:59
WH02,SKU00024,Oranges Boire,126,19,2026-01-10,23:59:59
WH02,SKU00025,Conserves Problème,342,33,2026-01-10,23:59:59
WH02,SKU00026,Thon Espace,451,54,2026-01-10,23:59:59
WH02,SKU00027,Poisson pané Flot,348,39,2026-01-10,23:59:59
WH02,SKU00028,Carottes Tranquille,104,20,2026-01-10,23:59:59
WH02,SKU00029,Nettoyant Poids,377,34,2026-01-10,23:59:59
WH02,SKU00030,Pommes Eh,209,0,2026-01-10,23:59:59
WH02,SKU00031,Porc Rapport,212,26,2026-01-10,23:59:59
WH02,SKU00032,Conserves Conscience,193,17,2026-01-10,23:59:59
WH02,SKU00033,Sauce tomate Réunir,431,24,2026-01-10,23:59:59
WH02,SKU00034,Eau Rien,418,62,2026-01-10,23:59:59
WH02,SKU00035,Biscuits Peur,129,19,2026-01-10,23:59:59
WH02,SKU00036,Crème Étage,5,1,2026-01-10,23:59:59
WH02,SKU00037,Chocolat Peur,21,3,2026-01-10,23:59:59
WH02,SKU00038,Sauce tomate Montrer,65,10,2026-01-10,23:59:59
WH02,SKU00039,Crevettes Disparaître,353,28,2026-01-10,23:59:59
WH02,SKU00040,Biscuits Cerveau,36,1,2026-01-10,23:59:59
WH02,SKU00041,Crème Chair,59,2,2026-01-10,23:59:59
WH02,SKU00042,Confiture Toit,461,62,2026-01-10,23:59:59
WH02,SKU00043,Nettoyant Occasion,34,1,2026-01-10,23:59:59
WH02,SKU00044,Bananes Lentement,274,20,2026-01-10,23:59:59
WH02,SKU00045,Thon Note,85,8,2026-01-10,23:59:59
WH02,SKU00046,Biscuits Moyen,489,87,2026-01-10,23:59:59
WH02,SKU00047,Saumon Perdu,366,50,2026-01-10,23:59:59
WH02,SKU00048,Biscuits Avancer,145,17,2026-01-10,23:59:59
WH02,SKU00049,Légumes surgelés Trésor,146,9,2026-01-10,23:59:59
WH02,SKU00050,Oranges Terminer,438,72,2026-01-10,23:59:59
WH02,SKU00051,Thé Tant,133,3,2026-01-10,23:59:59
WH02,SKU00052,Légumes surgelés Chambre,389,15,2026-01-10,23:59:59
WH02,SKU00053,Glace Bas,202,12,2026-01-10,23:59:59
WH02,SKU00054,Sel Moins,486,11,2026-01-10,23:59:59
WH02,SKU00055,Conserves Inviter,284,54,2026-01-10,23:59:59
WH02,SKU00056,Lait infantile Chien,254,12,2026-01-10,23:59:59
WH02,SKU00057,Lait Étrange,65,8,2026-01-10,23:59:59
WH02,SKU00058,Lingettes Distinguer,18,3,2026-01-10,23:59:59
WH02,SKU00059,Glace Disparaître,245,6,2026-01-10,23:59:59
WH02,SKU00060,Savon Ramasser,57,3,2026-01-10,23:59:59
WH02,SKU00061,Savon Parent,19,3,2026-01-10,23:59:59
WH02,SKU00062,Huile Côté,94,2,2026-01-10,23:59:59
WH02,SKU00063,Thé Nommer,390,8,2026-01-10,23:59:59
WH02,SKU00064,Pâtes Deviner,123,13,2026-01-10,23:59:59
WH02,SKU00065,Poisson pané Flot,315,47,2026-01-10,23:59:59
WH02,SKU00066,Soda Peau,224,9,2026-01-10,23:59:59
WH02,SKU00067,Céréales Étranger,226,38,2026-01-10,23:59:59
WH02,SKU00068,Crème Bras,393,5,2026-01-10,23:59:59
WH02,SKU00069,Glace Pain,339,64,2026-01-10,23:59:59
WH02,SKU00070,Dentifrice Rejoindre,392,24,2026-01-10,23:59:59
WH02,SKU00071,Thon Chaleur,393,26,2026-01-10,23:59:59
WH02,SKU00072,Crevettes Autorité,371,40,2026-01-10,23:59:59
WH02,SKU00073,Yaourt Tenir,22,4,2026-01-10,23:59:59
WH02,SKU00074,Confiture Rassurer,7,0,2026-01-10,23:59:59
WH02,SKU00075,Couches Aide,174,16,2026-01-10,23:59:59
WH02,SKU00076,Lingettes Certainement,471,22,2026-01-10,23:59:59
WH02,SKU00077,Nettoyant Éprouver,179,29,2026-01-10,23:59:59
WH02,SKU00078,Thon Dehors,102,20,2026-01-10,23:59:59
WH02,SKU00079,Éponges Monter,28,3,2026-01-10,23:59:59
WH02,SKU00080,Confiture Poids,194,9,2026-01-10,23:59:59
WH02,SKU00081,Crème Pleurer,484,37,2026-01-10,23:59:59
WH02,SKU00082,Beurre Également,258,4,2026-01-10,23:59:59
WH02,SKU00083,Miel Mode,115,5,2026-01-10,23:59:59
WH02,SKU00084,Crème Baisser,321,24,2026-01-10,23:59:59
WH02,SKU00085,Biscuits Défendre,171,28,2026-01-10,23:59:59
WH02,SKU00086,Éponges Manier,12,1,2026-01-10,23:59:59
WH02,SKU00087,Confiture Absence,35,3,2026-01-10,23:59:59
WH02,SKU00088,Yaourt Mémoire,308,33,2026-01-10,23:59:59
WH02,SKU00089,Biscuits Faute,147,17,2026-01-10,23:59:59
WH02,SKU00090,Laitue Parvenir,82,4,2026-01-10,23:59:59
WH02,SKU00091,Lait infantile Fortune,280,20,2026-01-10,23:59:59
WH02,SKU00092,Shampoing Nord,29,0,2026-01-10,23:59:59
WH02,SKU00093,Lait infantile Vif,350,8,2026-01-10,23:59:59
WH02,SKU00094,Poisson pané Rencontrer,209,33,2026-01-10,23:59:59
WH02,SKU00095,Boeuf Toucher,273,1,2026-01-10,23:59:59
WH02,SKU00096,Lessive Point,316,21,2026-01-10,23:59:59
WH02,SKU00097,Huile Curiosité,370,41,2026-01-10,23:59:59
WH02,SKU00098,Lingettes Discuter,189,2,2026-01-10,23:59:59
WH02,SKU00099,Poulet Gauche,73,14,2026-01-10,23:59:59
WH02,SKU00100,Sucre Émotion,53,10,2026-01-10,23:59:59
