warehouse_code,sku,product_name,available_quantity,reserved_quantity,snapshot_date,snapshot_time
WH01,SKU00001,Boeuf Oreille,358,49,2026-01-10,23:59:59
WH01,SKU00002,Crème Projet,412,52,2026-01-10,23:59:59
WH01,SKU00003,Biscuits Part,195,30,2026-01-10,23:59:59
WH01,SKU00004,Saumon Comme,70,13,2026-01-10,23:59:59
WH01,SKU00005,Porc Étonner,175,11,2026-01-10,23:59:59
WH01,SKU00006,Huile Enfin,49,4,2026-01-10,23:59:59
WH01,SKU00007,Jus Beau,181,11,2026-01-10,23:59:59
WH01,SKU00008,Riz Inutile,362,55,2026-01-10,23:59:59
WH01,SKU00009,Tomates Ami,450,32,2026-01-10,23:59:59
WH01,SKU00010,Déodorant Saisir,255,5,2026-01-10,23:59:59
WH01,SKU00011,Frites Remonter,94,8,2026-01-10,23:59:59
WH01,SKU00012,Boeuf Entourer,205,12,2026-01-10,23:59:59
WH01,SKU00013,Petits pots Saison,116,11,2026-01-10,23:59:59
WH01,SKU00014,Eau En,331,10,2026-01-10,23:59:59
WH01,SKU00015,Crème Accuser,173,28,2026-01-10,23:59:59
WH01,SKU00016,Crème Boire,384,12,2026-01-10,23:59:59
WH01,SKU00017,Soda Vol,268,16,2026-01-10,23:59:59
WH01,SKU00018,Liquide vaisselle Sourire,10,2,2026-01-10,23:59:59
WH01,SKU00019,Liquide vaisselle Baisser,31,4,2026-01-10,23:59:59
WH01,SKU00020,Riz Ensuite,30,5,2026-01-10,23:59:59
WH01,SKU00021,Bananes Bien,191,6,2026-01-10,23:59:59
WH01,SKU00022,Savon Approcher,86,0,2026-01-10,23:59:59
WH01,SKU00023,Pâtes Inconnu,493,67,2026-01-10,23:59:59
WH01,SKU00024,Oranges Boire,6,0,2026-01-10,23:59:59
WH01,SKU00025,Conserves Problème,167,24,2026-01-10,23:59:59
WH01,SKU00026,Thon Espace,156,1,2026-01-10,23:59:59
WH01,SKU00027,Poisson pané Flot,409,72,2026-01-10,23:59:59
WH01,SKU00028,Carottes Tranquille,288,23,2026-01-10,23:59:59
WH01,SKU00029,Nettoyant Poids,439,8,2026-01-10,23:59:59
WH01,SKU00030,Pommes Eh,489,22,2026-01-10,23:59:59
WH01,SKU00031,Porc Rapport,96,19,2026-01-10,23:59:59
WH01,SKU00032,Conserves Conscience,255,11,2026-01-10,23:59:59
