warehouse_code,sku,product_name,available_quantity,reserved_quantity,snapshot_date,snapshot_time
WH01,SKU00001,Boeuf Oreille,207,37,2026-01-08,23:59:59
WH01,SKU00002,Crème Projet,102,16,2026-01-08,23:59:59
WH01,SKU00003,Biscuits Part,7,0,2026-01-08,23:59:59
WH01,SKU00004,Saumon Comme,470,11,2026-01-08,23:59:59
WH01,SKU00005,Porc Étonner,281,18,2026-01-08,23:59:59
WH01,SKU00006,Huile Enfin,371,71,2026-01-08,23:59:59
WH01,SKU00007,Jus Beau,468,74,2026-01-08,23:59:59
WH01,SKU00008,Riz Inutile,178,22,2026-01-08,23:59:59
WH01,SKU00009,Tomates Ami,493,35,2026-01-08,23:59:59
WH01,SKU00010,Déodorant Saisir,115,19,2026-01-08,23:59:59
WH01,SKU00011,Frites Remonter,493,24,2026-01-08,23:59:59
WH01,SKU00012,Boeuf Entourer,232,25,2026-01-08,23:59:59
WH01,SKU00013,Petits pots Saison,294,0,2026-01-08,23:59:59
WH01,SKU00014,Eau En,133,5,2026-01-08,23:59:59
WH01,SKU00015,Crème Accuser,208,32,2026-01-08,23:59:59
WH01,SKU00016,Crème Boire,54,8,2026-01-08,23:59:59
WH01,SKU00017,Soda Vol,37,4,2026-01-08,23:59:59
WH01,SKU00018,Liquide vaisselle Sourire,174,7,2026-01-08,23:59:59
WH01,SKU00019,Liquide vaisselle Baisser,411,65,2026-01-08,23:59:59
WH01,SKU00020,Riz Ensuite,489,32,2026-01-08,23:59:59
WH01,SKU00021,Bananes Bien,448,68,2026-01-08,23:59:59
WH01,SKU00022,Savon Approcher,416,73,2026-01-08,23:59:59
WH01,SKU00023,Pâtes Inconnu,128,22,2026-01-08,23:59:59
WH01,SKU00024,Oranges Boire,226,24,2026-01-08,23:59:59
WH01,SKU00025,Conserves Problème,288,30,2026-01-08,23:59:59
WH01,SKU00026,Thon Espace,394,31,2026-01-08,23:59:59
WH01,SKU00027,Poisson pané Flot,387,43,2026-01-08,23:59:59
WH01,SKU00028,Carottes Tranquille,492,58,2026-01-08,23:59:59
WH01,SKU00029,Nettoyant Poids,348,58,2026-01-08,23:59:59
WH01,SKU00030,Pommes Eh,459,75,2026-01-08,23:59:59
WH01,SKU00031,Porc Rapport,441,3,2026-01-08,23:59:59
WH01,SKU00032,Conserves Conscience,246,7,2026-01-08,23:59:59
WH01,SKU00033,Sauce tomate Réunir,132,2,2026-01-08,23:59:59
WH01,SKU00034,Eau Rien,195,14,2026-01-08,23:59:59
WH01,SKU00035,Biscuits Peur,346,29,2026-01-08,23:59:59
WH01,SKU00036,Crème Étage,409,40,2026-01-08,23:59:59
WH01,SKU00037,Chocolat Peur,211,22,2026-01-08,23:59:59
WH01,SKU00038,Sauce tomate Montrer,264,34,2026-01-08,23:59:59
WH01,SKU00039,Crevettes Disparaître,4,0,2026-01-08,23:59:59
WH01,SKU00040,Biscuits Cerveau,127,9,2026-01-08,23:59:59
WH01,SKU00041,Crème Chair,47,6,2026-01-08,23:59:59
WH01,SKU00042,Confiture Toit,344,43,2026-01-08,23:59:59
WH01,SKU00043,Nettoyant Occasion,38,2,2026-01-08,23:59:59
WH01,SKU00044,Bananes Lentement,243,20,2026-01-08,23:59:59
WH01,SKU00045,Thon Note,181,13,2026-01-08,23:59:59
WH01,SKU00046,Biscuits Moyen,457,73,2026-01-08,23:59:59
WH01,SKU00047,Saumon Perdu,137,5,2026-01-08,23:59:59
WH01,SKU00048,Biscuits Avancer,484,95,2026-01-08,23:59:59
WH01,SKU00049,Légumes surgelés Trésor,349,24,2026-01-08,23:59:59
WH01,SKU00050,Oranges Terminer,255,47,2026-01-08,23:59:59
WH01,SKU00051,Thé Tant,102,7,2026-01-08,23:59:59
WH01,SKU00052,Légumes surgelés Chambre,376,30,2026-01-08,23:59:59
WH01,SKU00053,Glace Bas,446,33,2026-01-08,23:59:59
WH01,SKU00054,Sel Moins,105,7,2026-01-08,23:59:59
WH01,SKU00055,Conserves Inviter,103,7,2026-01-08,23:59:59
WH01,SKU00056,Lait infantile Chien,428,79,2026-01-08,23:59:59
WH01,SKU00057,Lait Étrange,182,9,2026-01-08,23:59:59
WH01,SKU00058,Lingettes Distinguer,398,13,2026-01-08,23:59:59
WH01,SKU00059,Glace Disparaître,61,1,2026-01-08,23:59:59
WH01,SKU00060,Savon Ramasser,346,63,2026-01-08,23:59:59
WH01,SKU00061,Savon Parent,314,0,2026-01-08,23:59:59
WH01,SKU00062,Huile Côté,391,69,2026-01-08,23:59:59
WH01,SKU00063,Thé Nommer,490,5,2026-01-08,23:59:59
WH01,SKU00064,Pâtes Deviner,434,61,2026-01-08,23:59:59
